car_description,price,age,fuel_type,transmission,bodystyle,car_model,mileage,engine_displacement,horsepower,mileage_per_year,power_per_liter,predicted_price
Audi Q3 1.4 TFSI CoD Advance Sport S tronic 150 pk,,1,Petrol,Automatic,SUV,Q3,0,1.4,150.0,0.0,107.14285714285715,
"Audi A5 1.8 TFSI S-line, B&O, Distronic, aut/Nav",,3,Petrol,Automatic,Coupe,A5,41333,1.8,,11809.42857142857,,
Audi A4 2.5 TDI Exclusive,,16,Diesel,Manual,Sedan,A4,345561,2.5,,20943.090909090908,,
Audi A4 Avant 1.8 Tfsi 125kW Multitronic Business Edition Xenon/Led/Pdc/Bt/Ecc/Crc/Lmv,,5,Petrol,Automatic,Station wagon,A4,130915,1.8,,23802.727272727272,,
Audi A3 Sportback 1.0 TFSI SPORT LEASE EDITION,,2,Petrol,Manual,Hatchback,A3,26066,1.0,,10426.4,,
Audi A5 Sportback 1.8 TFSI 177pk multitronic Sport Edition 6 maanden garantie en uitgebreide afleverbeurt,,3,Petrol,Automatic,Hatchback,A5,39056,1.8,177.0,11158.857142857143,98.33333333333333,
"Audi A4 Avant 2.0 TFSI Sport S-tronic , Bi-Xenon, Leder/alcantara bekleding, Virtual cockpit,",,1,Petrol,Automatic,Station wagon,A4,14028,2.0,,9352.0,,
Audi A6 Avant 3.0 TDI 204PK Aut PRO LINE Orig.NL Nav Cli Cru,,7,Diesel,Automatic,Station wagon,A6,204683,3.0,204.0,27291.066666666666,68.0,
Audi Q5 2.0 TFSI quattro S-tronic S-Line Edition,,1,Petrol,Automatic,SUV,Q5,0,2.0,,0.0,,
Audi A6 Allroad 2.7 TDI Pro Line | FULL OPTION | | Luchtvering | Schuif-/ kanteldak |,,10,Diesel,Automatic,SUV,A6,232500,2.7,,22142.85714285714,,
Audi A3 SPORTBACK 1.6 TDI [ panoramadak alcantara xenon navi ],,6,Diesel,Manual,Hatchback,A3,136825,1.6,,21050.0,,
"Audi A4 Limousine 1.4 TFSI 150PK Automaat Lease Edition / Navi / Clima / Cruise Control / LED koplampen / Lederen stuur / 17"" Velgen",,1,Petrol,Automatic,Sedan,A4,0,1.4,150.0,0.0,107.14285714285715,
Audi A3 LIMOUSINE 1.5 TFSI 150PK S-TRONIC / S-LINE / OPTIEK ZWART / 18'',,1,Petrol,Automatic,Sedan,A3,10750,1.5,150.0,7166.666666666667,100.0,
"Audi A8 50 TDI 286PK Automaat Quattro Pro Line Plus / Panorama dak / Stoelventilatie + Massage voor / Clima 4-zone / Bang & Olufsen / Rear Seat Remote / 20"" Velgen",,1,Diesel,Automatic,Sedan,A8,0,50.0,286.0,0.0,5.72,
"Audi A3 Sportback 1.0 Tfsi 116pk S-Line Edition Navigatie, Parkeersensoren",,2,Petrol,Manual,Hatchback,A3,24261,1.0,116.0,9704.4,116.0,
Audi Q2 1.4 TFSI 150 PK COD DESIGN MMI NAVIGATIE|PARKEERHULP VOOR & ACHTER|ELEK. ACHTERKLEP|AUDI SOUNDSYSTEM,,2,Petrol,Manual,SUV,Q2,25944,1.4,150.0,10377.6,107.14285714285715,
"Audi A4 Avant 1.9 TDI Advance (Airco,LM-velgen,Dakrail,Trekhaak,Hout Inleg,MET GARANTIE*).",,20,Diesel,Manual,Station wagon,A4,387967,1.9,,18925.219512195123,,
Audi A6 Avant 2.0 TFSI BUSINESS EDITION Leer/Navigatie/Ecc/Afnb-Trekhaak/alu wielen,,8,Petrol,Automatic,Station wagon,A6,178080,2.0,,20950.58823529412,,
Audi A3 Sportback 1.5 TFSI COD SPORT S LINE EDITION 18 Inch LM velgen / Parkeersensoren,,1,Petrol,Manual,Hatchback,A3,25099,1.5,,16732.666666666668,,
Audi A4 Avant S line edition 35 TFSI S tronic 150 pk,,0,Petrol,Automatic,Station wagon,A4,0,35.0,150.0,0.0,4.285714285714286,
"Audi A1 Sportback 30 TFSI 116 PK S Line edition one | Virtual Cockpit | Clima | PDC Plus | Witte 18""LMV | *NIEUW* ( 558617)",,1,Petrol,Manual,Hatchback,A1,0,30.0,116.0,0.0,3.8666666666666667,
"Audi A6 50TDI286pk quattro Design · Head-up display · HD Matrix LED koplampen · 19""LM velgen",,1,Diesel,Automatic,Sedan,A6,0,50.0,286.0,0.0,5.72,
Audi Q3 (35) TFSI 150PK Aut. NIEUW MODEL Pro Line |PDC+|Virtual,,1,Petrol,Automatic,SUV,Q3,0,,150.0,0.0,,
"Audi A1 Sportback 1.0 TFSI 96 PK ADRENALIN S-line exterieur, Navigatie, Airco, Cruise control, Dealer onderhouden, BTW verrekenbaar",,2,Petrol,Manual,Hatchback,A1,28766,1.0,96.0,11506.4,96.0,
"Audi Q5 2.0 Tfsi 252pk S-tronic Quattro Sport Pro Line S, PDC+camera, Telefoon + Qi laden, Trekhaak",,2,Petrol,Automatic,SUV,Q5,43000,2.0,252.0,17200.0,126.0,
Audi A4 1.6 Advance / Airco / APK / trekhaak,,20,Petrol,Manual,Sedan,A4,179464,,,8754.341463414634,,
Audi RS4 Avant 4.2 FSI RS4 Quattro,,4,Petrol,Automatic,Station wagon,RS4,78606,,,17468.0,,
"Audi A3 Sportback 1.4 TFSI COD ADRENALIN S-LINE! NAVI,CRUISE,PDC, AUDI VERKEERD IN NIEUWSTAAT!",,3,Petrol,Manual,Hatchback,A3,71817,1.4,,20519.14285714286,,
"Audi A6 Avant 40 TDI Sport Pro Line S -Matrix LED/B&Q/20""/Pdak/Topview-",,1,Diesel,Automatic,Station wagon,A6,0,40.0,,0.0,,
Audi A1 1.6 TDI Ambition ProLine Bns,,5,Diesel,Manual,Hatchback,A1,142239,1.6,,25861.636363636364,,
Audi Q7 3.0 TDI QUATTRO 2x S-LINE [ panoramadak camera xenon led bose ],,8,Diesel,Automatic,SUV,Q7,137961,3.0,,16230.70588235294,,
Audi A3 Sportback 1.9 TDI Attraction,,13,Diesel,Manual,Hatchback,A3,287191,1.9,,21273.40740740741,,
Audi Q5 3.0 TDI SQ5 quattro Pro Line,,4,Diesel,Automatic,SUV,Q5,76039,3.0,,16897.555555555555,,
Audi A8 2.8 V6 AUT Quattro Dak Leer Trekhaak,,24,Petrol,Automatic,Sedan,A8,227904,,,9302.204081632653,,
Audi A4 2.0,,17,Petrol,Manual,Station wagon,A4,288000,,,16457.14285714286,,
Audi Q3 2.0 TDI Quattro Sport Pro Line S / Automaat,,3,Diesel,Automatic,SUV,Q3,83837,2.0,,23953.428571428572,,
Audi A4 1.6 C ADVANCE,,21,Petrol,Manual,Sedan,A4,238671,,,11100.976744186046,,
Audi A5 Sportback 2.0 TFSI MHEV 190pk s-tronic S Line Edition,,1,Petrol,Automatic,Hatchback,A5,0,2.0,190.0,0.0,95.0,
Audi A3 Sportback 30TFSI/115pk Lease Edition · Connected services · LED koplampen · Sportstoelen,,1,Petrol,Manual,Hatchback,A3,0,30.0,115.0,0.0,3.8333333333333335,
"Audi A6 1.8 TFSI 190pk Automaat 18"" Lm-velgen Navigatie",,2,Petrol,Automatic,Sedan,A6,30466,1.8,190.0,12186.4,105.55555555555556,
Audi A4 Avant 2.0 TDI 150pk S-tronic Lease Edition,,2,Diesel,Automatic,Station wagon,A4,0,2.0,150.0,0.0,75.0,
Audi A4 Cabriolet 2.5 V6 TDI Pro Line Aut. i.z.g.st.,,14,Diesel,Automatic,Cabriolet,A4,207931,6.0,,14340.068965517241,,
Audi A8 55 TFSI quattro Pro Line Plus 340 pk Tiptronic,,1,Petrol,Automatic,Sedan,A8,0,55.0,340.0,0.0,6.181818181818182,
Audi A4 AVANT 2.0 TDI 190pk QUATTRO Sport S-Tronic Aut.,,2,Diesel,Automatic,Station wagon,A4,124683,2.0,190.0,49873.2,95.0,
Audi A6 1.9 TDI 110 PK SEDAN CLIMATE CONTROL,,20,Diesel,Manual,Sedan,A6,567483,1.9,110.0,27682.09756097561,57.89473684210527,
Audi A3 Limousine 1.6 TDI AMBITION PRO LINE S | NAVI | XENON | CLIMA |,,5,Diesel,Automatic,Sedan,A3,136625,1.6,,24840.909090909092,,
"Audi A3 Sportback 1.2 TFSI Ambition Proline S Automaat, Navi, Clima, Half Leder",,5,Petrol,Automatic,Hatchback,A3,80000,1.2,,14545.454545454546,,
Audi A5 Sportback 2.0TFSI 190PK S-TRONIC S-LINE/PANO.DAK/VIRT.COCKPIT/OPTIEK ZWART,,1,Petrol,Automatic,Hatchback,A5,0,2.0,190.0,0.0,95.0,
Audi A6 Sedan 2.0TDi 150pk S-Tronic Sport Edition | Audi Sound | DAB | Inklapbare Buitenspiegels | Fabrieks garantie t/m 12-2019 of 150.000km,,4,Diesel,Automatic,Sedan,A6,43699,2.0,150.0,9710.888888888889,75.0,
Audi A4 Avant 2.0 Aut Ecc Trekhaak Cruise Nap,,14,Petrol,Automatic,Station wagon,A4,192185,,,13254.137931034482,,
Audi Q3 2.0 TDI PRO LINE *XENON+NAVI+PDC+ECC+CRUISE*,,7,Diesel,Manual,SUV,Q3,170010,2.0,,22668.0,,
Audi A7 Sportback 3.0 TDI Quattro BiT Pro Line Plus - 320 pk    138.281,,4,Diesel,Automatic,Hatchback,A7,185000,3.0,320.0,41111.11111111111,106.66666666666667,
Audi A1 1.4 TFSI Ambition Pro Line Business,,8,Petrol,Manual,Hatchback,A1,147849,1.4,,17394.0,,
Audi A1 Ambition 1.4 TFSI S-tronic 122 PK / Climatronic / Telefoon / Cruise Control,,9,Petrol,Automatic,Hatchback,A1,87365,1.4,122.0,9196.315789473685,87.14285714285715,
"Audi A4 Avant 1.8 TFSI 170pk PRO LINE S [S-LINE] Vol Leer, Navi, Xenon, ECC, LMV",,5,Petrol,Manual,Station wagon,A4,172959,1.8,170.0,31447.090909090908,94.44444444444444,
Audi A3 2.0 FSI Sportback,,13,Petrol,Manual,Hatchback,A3,175200,,,12977.777777777777,,
Audi A6 3.0 TDI BiT quattro Advance Sport,,1,Diesel,Automatic,Station wagon,A6,1081,3.0,,720.6666666666666,,
Audi A4 1.8 tfsi 170 PK aut. Pro line business NAVI,,7,Petrol,Automatic,Station wagon,A4,149338,1.8,170.0,19911.733333333334,94.44444444444444,
Audi A1 Sportback New 30 TFSI 116pk,,0,Petrol,Manual,Hatchback,A1,0,30.0,116.0,0.0,3.8666666666666667,
Audi A4 Avant 2.0 TDI S-LINE PRO-LINE Aut. Navi Leder/Alcantara Xenon Flippers Trekhaak!,,9,Diesel,Automatic,Station wagon,A4,190149,2.0,,20015.684210526317,,
Audi A4 Avant 2.0 TDI 150pk S-Tronic S-Line Navigatie Xenon PDC,,2,Diesel,Automatic,Station wagon,A4,21665,2.0,150.0,8666.0,75.0,
Audi A6 Avant New 40 TDI 204pk S tronic Launch Edition Sport,,1,Diesel,Automatic,Station wagon,A6,0,40.0,204.0,0.0,5.1,
Audi A6 2.0 TDI 190PK S-TRONIC ULTRA PREMIUM LEER/BOSE/LED/HEAD UP,,4,Diesel,Automatic,Sedan,A6,71611,2.0,190.0,15913.555555555555,95.0,
Audi A8 4.2 TDI QUATTRO PRO LINE,,13,Diesel,Automatic,Sedan,A8,236650,4.2,,17529.62962962963,,
Audi A6 2.8 FSI PRO S-LINE Automaat Navi Leder,,9,Petrol,Automatic,Sedan,A6,164845,,,17352.105263157893,,
"Audi Q3 1.4 TFSI 150pk Advance Sport S-Tronic, uw voordeel is € 7.550,-",,1,Petrol,Automatic,SUV,Q3,0,1.4,150.0,0.0,107.14285714285715,
"Audi A1 Sportback 1.2 TFSI S- LINE Admired, 5drs, 17 inch, Zwart dak, navi",,6,Petrol,Manual,Hatchback,A1,181215,1.2,,27879.23076923077,,
"Audi A4 Avant 2.0 TFSI MHEV Sport S line black edition / panoramadak / parkeerhulp achter / 19"" lichtmetalen velgen",,1,Petrol,Automatic,Station wagon,A4,14080,2.0,,9386.666666666666,,
Audi Q5 3.0 TDI S-LINE EXTER/INTER.-AUDI EXCLUSIVE-NAVI-XENON-B&O SOUND-TREKHAAK-COMPLEET,,7,Diesel,Automatic,SUV,Q5,152822,3.0,,20376.266666666666,,
Audi A3 Sedan 1.6TDi Aut. Attraction Business,,3,Diesel,Automatic,Sedan,A3,97143,1.6,,27755.14285714286,,
Audi Q5 2.0 TDI 190PK S-TRONIC (VMO),,2,Diesel,Automatic,SUV,Q5,10888,2.0,190.0,4355.2,95.0,
Audi A6 2.4 5V Ambition,,18,Petrol,Manual,Station wagon,A6,310107,,,16762.54054054054,,
Audi Q5 2.0 TDI S-Line*Navi/S-Line Stoelen/B&O/Panodak/Bi-Xenon/LED/Trekhaak wegklapb.*,,4,Diesel,Manual,SUV,Q5,112454,2.0,,24989.777777777777,,
Audi A3 1.9 TDI Attraction,,14,Diesel,Manual,Hatchback,A3,282000,1.9,,19448.275862068964,,
Audi A5 Coupé 1.8 TFSI PRO LINE S | AUTOMAAT | XENON | NAVI | 19 INCH VELGEN |,,8,Petrol,Automatic,Coupe,A5,89480,1.8,,10527.058823529413,,
Audi A4 AVANT 2.0 131pk PROLINE CLIMA-CRUISE-SPORTSTOELEN-LMV,,16,Petrol,Manual,Station wagon,A4,174248,,131.0,10560.484848484848,,
Audi A4 2.0 TFSI MHEV 190pk S-tronic S-Line Edition,,1,Petrol,Automatic,Sedan,A4,0,2.0,190.0,0.0,95.0,
Audi A3 Sportback 1.2 TFSI AMBITION,,5,Petrol,Manual,Hatchback,A3,78716,1.2,,14312.0,,
Audi A5 Sportback 3.0 TDI quattro Pro Line,,9,Diesel,Automatic,Hatchback,A5,205551,3.0,,21636.947368421053,,
Audi A3 2.0 TDI Attraction,,11,Diesel,Manual,Hatchback,A3,282366,2.0,,24553.565217391304,,
Audi S3 Sportback 2.0 TFSI S3 quattro S-Tronic Automaat 300 pk **Navi/Led/Xenon/Climate/Cruise/Easy entry/Tel./F1 flippers/Drive select/Slechts 35.254**,,4,Petrol,Automatic,Hatchback,S3,35254,2.0,300.0,7834.222222222223,150.0,
Audi A4 Avant 3.0 TDI Pro Line S Automaat * Xenon / Navigatie / Airco-ecc *,,6,Diesel,Automatic,Station wagon,A4,114470,3.0,,17610.76923076923,,
Audi A4 Avant 1.8 Turbo Pro Line,,15,Petrol,Manual,Station wagon,A4,331457,,,21384.322580645163,,
Audi A6 2.0 TDI ultra Quattro 190pk automaat NP 81.500,,2,Diesel,Automatic,Sedan,A6,100,2.0,190.0,40.0,95.0,
Audi A4 Avant 2.5 TDI MT,,15,Diesel,Automatic,Station wagon,A4,251000,2.5,,16193.548387096775,,
Audi A1 1.2 TFSI Attraction Pro Line Business,,9,Petrol,Manual,Hatchback,A1,128029,1.2,,13476.736842105263,,
Audi TT Roadster 2.0 TFSI 200 PK S-Line 19 INCH TT-RS ROTOR VELGEN!!,,12,Petrol,Manual,Cabriolet,TT,129302,2.0,200.0,10344.16,100.0,
"Audi A8 50 TDI quattro 3.0 V6 , Panorama dak, led matrix koplampen met laser, oled achterlichten Nieuwprijs € 158.000,=",,1,Diesel,Automatic,Sedan,A8,11585,50.0,,7723.333333333333,,
"Audi A1 Sportback 1.0 95 PK TFSI Advance, | 17 ""LMV C3Z | Licht- en Regensensor | *NIEUW* (490382)",,1,Petrol,Manual,Hatchback,A1,0,,95.0,0.0,,
Audi A1 1.2 TFSI Admired S-Line,,5,Petrol,Manual,Hatchback,A1,51043,1.2,,9280.545454545454,,
Audi RS3 Sportback 2.5 TFSI 368 PK AUTOMAAT QUATTRO PRO LINE PLUS | Keyless | Bang & Olufsen | Leder | Led Koplampen | Achteruitrijcamera | Navigatie |,,4,Petrol,Automatic,Hatchback,RS3,25191,2.5,368.0,5598.0,147.2,
Audi A1 Sportback 1.0 TFSI 95pk Advance Sport,,1,Petrol,Manual,Hatchback,A1,0,1.0,95.0,0.0,95.0,
Audi Q2 1.0 TFSI ULTRA SPORT NAVI LED STOELVER CRUISE,,2,Petrol,Manual,SUV,Q2,18705,1.0,,7482.0,,
Audi Q2 1.4 TFSI 150pk S-Tronic S-Line Navigatie PDC,,2,Petrol,Automatic,SUV,Q2,53473,1.4,150.0,21389.2,107.14285714285715,
Audi A1 Sportback 1.0 TFSI 95PK Advance | Adrenalin Daytonagrijs dak/boog,,1,Petrol,Manual,Hatchback,A1,1201,1.0,95.0,800.6666666666666,95.0,
Audi A4 1.8 TFSI Business Edition,,5,Petrol,Manual,Sedan,A4,59800,1.8,,10872.727272727272,,
Audi A4 SEDAN 1.8TFSi 170PK S-LINE AUT,,7,Petrol,Automatic,Sedan,A4,119987,1.8,170.0,15998.266666666666,94.44444444444444,
Audi A3 1.4 TFSI Attr. Pro L,,7,Petrol,Manual,Hatchback,A3,106018,1.4,,14135.733333333334,,
"Audi A3 Sportback €4.196,- demovoordeel! 1.0 TFSI Sport Lease Edition 116 pk",,1,Petrol,Manual,Hatchback,A3,13000,1.0,116.0,8666.666666666666,116.0,
Audi A4 1.8 TFSI PRO-LINE SPORT NAVI/ECC/LMV,,7,Petrol,Manual,Sedan,A4,129370,1.8,,17249.333333333332,,
Audi Q2 150PK TFSI Aut. |HUD|Trekh.|Ambiance|LED|Navi,,1,Petrol,Automatic,SUV,Q2,20987,,150.0,13991.333333333334,,
Audi A8 50 TDI 286pk QUATTRO PRO LINE PLUS Virtual Cockpit / MMI Plus / Stuurwiel verwarmd / Dodehoek detector / Head-up Display 20 Inch LM Velgen / Adaptive Cruise Control / B&O Soundsysteem,,1,Diesel,Automatic,Sedan,A8,6500,50.0,286.0,4333.333333333333,5.72,
Audi A4 Avant 2.0 TDI Pro Line 140PK/airco-Ecc/alu wielen/Navigatie/Nieuw staat auto!!,,14,Diesel,Manual,Station wagon,A4,250762,2.0,140.0,17293.931034482757,70.0,
Audi A6 1.8 TFSI 190 PK ULTRA S-Tronic Navi Camera,,3,Petrol,Automatic,Sedan,A6,37150,1.8,190.0,10614.285714285714,105.55555555555556,
Audi A3 Limousine Sport Pro Line S 1.6 TDI S-tronic / Navigatie / Parkeersensoren / Apple Carplay,,2,Diesel,Automatic,Sedan,A3,38404,1.6,,15361.6,,
Audi A1 1.6 TDI Attraction Pro Line,,8,Diesel,Manual,Hatchback,A1,209176,1.6,,24608.941176470587,,
"Audi SQ5 3.0 TFSI SQ5 quattro Pro Line Plus zeer luxe en sportief uitgevoerde 354 pk! deze auto heeft slechts 1,160 km gereden",,1,Petrol,Automatic,SUV,SQ5,1160,3.0,354.0,773.3333333333334,118.0,
Audi A5 SPORTBACK 1.8 TFSI Proline S Aut. [ MMI Plus navi Xenon Achteruitrijcamera ],,5,Petrol,Automatic,Hatchback,A5,118333,1.8,,21515.090909090908,,
Audi A5 Cabriolet 3.0 TDI quattro S-edition,,9,Diesel,Automatic,Cabriolet,A5,127285,3.0,,13398.421052631578,,
"Audi Q5 2.0 TFSI 225pk | Automaat | Quattro | Panodak | S-line | Leer | 20"" | Side Assist | B&O | Zwart | VOL",,4,Petrol,Automatic,SUV,Q5,51116,2.0,225.0,11359.111111111111,112.5,
Audi A3 Sportback 1.2 TFSI AMBIENTE PRO LINE Trekhaak Navigatie PDC BTW,,5,Petrol,Automatic,Hatchback,A3,119946,1.2,,21808.363636363636,,
Audi A3 Limousine 1.6TDI 116PK S-TRONIC S-LINE EDITION/ OPTIEK ZWART / GETINT GLAS,,1,Diesel,Automatic,Sedan,A3,13975,1.6,116.0,9316.666666666666,72.5,
Audi A5 Cabriolet 3.2 FSI Quattro Pro Line - 265 pk   Leer   NL Auto,,10,Petrol,Automatic,Cabriolet,A5,177200,,265.0,16876.190476190477,,
Audi A1 Sportback 1.4 TDI PRO LINE WEINIG KM - AUTOM - LMV - 3DEUR - AC -RIJKLAAR!,,3,Diesel,Automatic,Hatchback,A1,16705,1.4,,4772.857142857143,,
"Audi A1 Sportback 1.0 95 PK TFSI Advance, | 17 ""LMV C3Z | Licht- en Regensensor | *NIEUW* (490437)",,1,Petrol,Manual,Hatchback,A1,0,,95.0,0.0,,
"Audi Q2 1.0 Tfsi 116pk S-tronic Edition #1 €4.945,= KORTING MEGA STUNTVOORDEEL Mmi navigatie, Soundsystem, Telefoon, PDC",,1,Petrol,Automatic,SUV,Q2,0,1.0,116.0,0.0,116.0,
"Audi Q3 1.4 TFSI 150PK Automaat Pro Line / Navi / Clima / Stoelverwarming / Cruise control / Bluetooth / Parkeersensoren voor en achter / Lederen stuur / 17"" Velgen",,4,Petrol,Automatic,SUV,Q3,21308,1.4,150.0,4735.111111111111,107.14285714285715,
"Audi A3 Sportback 1.6 TDI Sportback, Airco,Cruisecntrl",,6,Diesel,Manual,Hatchback,A3,90209,1.6,,13878.307692307691,,
Audi A3 Limousine 1.6 TDI Ambition Pro Line Navi Airco Sportstoelen 200x Vw-Audi-Seat-Skoda,,5,Diesel,Manual,Sedan,A3,163167,1.6,,29666.727272727272,,
"Audi A5 Sportback 1.8 TFSI 170pk PRO LINE S, Navi, Xenon Led, ROTOR, ECC",,7,Petrol,Manual,Hatchback,A5,138567,1.8,170.0,18475.6,94.44444444444444,
Audi Q2 1.4 TFSI COD Sport Pro Line S,,1,Petrol,Automatic,SUV,Q2,2500,1.4,,1666.6666666666667,,
Audi A3 Sportback 1.0TFSI 116PK S-LINE EDITION/ OPTIEK ZWART/ PRIVACY GLAS/ 18'',,1,Petrol,Manual,Hatchback,A3,1250,1.0,116.0,833.3333333333334,116.0,
Audi A6 Avant Aut/ Navi/ Leer/ Tr- 2.8 FSI Business,,11,Petrol,Automatic,Station wagon,A6,177729,,,15454.695652173914,,
Audi A3 Limousine 35 TFSI S line edition,,1,Petrol,Automatic,Sedan,A3,0,35.0,,0.0,,
Audi A4 2.0 TDI ULTRA BUSINESS EDITION,,4,Diesel,Manual,Sedan,A4,86272,2.0,,19171.555555555555,,
Audi A4 Avant 2.0 TFSI Advance Navi Xenon Clima Trekhaak,,11,Petrol,Manual,Station wagon,A4,164706,2.0,,14322.260869565218,,
Audi Q3 2.0TFSI/221PK quattro Sport · LED · Leder/Alcantara · Drive select,,4,Petrol,Automatic,SUV,Q3,30923,2.0,221.0,6871.777777777777,110.5,
Audi A3 SPORTBACK 2.0 TDI AMBITION PRO LINE S XENON NAVI CLIMA CRUISE LICHTMETAAL,,8,Diesel,Manual,Hatchback,A3,218727,2.0,,25732.58823529412,,
Audi A1 Sportback 95 pk Adrenalin,,1,Petrol,Manual,Hatchback,A1,500,,95.0,333.3333333333333,,
"Audi 80 2.0 E youngtimer, taxatierapport aanwezig",,26,Petrol,Manual,Sedan,A80,78555,,,2964.3396226415093,,
"Audi RS6 (J) AVANT 5.0 TFSI QUATTRO AUT. [ 20"" Lmv Volleder Navigatie ]",,10,Petrol,Automatic,Station wagon,RS6,143637,5.0,,13679.714285714286,,
Audi A3 Sportback 1.4 TFSI 150pk Automaat Ambiente Leer/Stof Navigatie Climate,,4,Petrol,Automatic,Hatchback,A3,67933,1.4,150.0,15096.222222222223,107.14285714285715,
Audi A6 3.0 TDI 204pk QUATTRO PRO LINE PLUS / SPORTSTOELEN / TREKHAAK /,,6,Diesel,Automatic,Station wagon,A6,156617,3.0,204.0,24094.923076923078,68.0,
Audi A3 1.4 TFSI Limousine 140pk CoD Ambiente Pro Line Plus Xenon/Navi,,5,Petrol,Manual,Sedan,A3,190205,1.4,140.0,34582.72727272727,100.0,
Audi A3 SPORTBACK 1.4TFSI G-TRON Pro Line S Aut. [ 2xS-line Panoramadak 18 inch Rotor velgen ],,5,Petrol,Automatic,Hatchback,A3,139292,1.4,,25325.81818181818,,
Audi A1 1.2 TFSI Attraction Pro Line Business,,7,Petrol,Manual,Hatchback,A1,53900,1.2,,7186.666666666667,,
Audi SQ5 Q5 3.0 TDI 313 PK AUT8 QUATTRO PRO LINE B&O,,5,Diesel,Automatic,SUV,SQ5,151974,3.0,313.0,27631.636363636364,104.33333333333333,
Audi A4 AVANT 1.8 TFSI Business Edition Aut. [ xenon navi lederen sportstoelen ],,6,Petrol,Automatic,Station wagon,A4,101194,1.8,,15568.307692307691,,
"Audi A3 Sportback 1.0 TFSI Sport Pro Line, Navi, LED, Xenon, Stoelverwarming, Drive Select",,2,Petrol,Manual,Hatchback,A3,9274,1.0,,3709.6,,
Audi A6 Avant 2.5 TDI quattro,,17,Diesel,Manual,Station wagon,A6,347324,2.5,,19847.085714285713,,
Audi A6 Avant 40 TDI Launch edition Sport,,1,Diesel,Automatic,Station wagon,A6,0,40.0,,0.0,,
Audi A1 Sportback 1.4TDi Attraction (Navi),,4,Diesel,Manual,Hatchback,A1,75787,1.4,,16841.555555555555,,
"Audi A4 Avant 2.0 TDI Pro Line Leer, navi, 6 vernsn.",,13,Diesel,Manual,Station wagon,A4,289926,2.0,,21476.0,,
"Audi Q3 2.0 TDI ECC/ 20""ROTOR VELGEN/PRIV.GLASS/BOSE/CV+AB",,7,Diesel,Manual,SUV,Q3,197517,2.0,,26335.6,,
Audi SQ5 3.0 TFSI SQ5 quattro,,2,Petrol,Automatic,SUV,SQ5,8895,3.0,,3558.0,,
Audi A3 Sportback 2.0 TDI Ambition Pro Line plus Schuifdak Xenon Navi Clima Cruise,,6,Diesel,Manual,Hatchback,A3,134309,2.0,,20662.923076923078,,
Audi A6 Allroad 3.0 TDI 245PK QUATTRO PRO LINE PLUS TIPTRONIC Navi / Leder Bekleding / Xenon Verlichting / LMV 20'',,6,Diesel,Automatic,SUV,A6,127850,3.0,245.0,19669.23076923077,81.66666666666667,
"Audi A1 1.0 TFSI 95pk Advance Sport, uw voordeel is € 2.005,-",,1,Petrol,Manual,Hatchback,A1,0,1.0,95.0,0.0,95.0,
Audi A3 1.6 TDI 77KW SPORTBACK Proline,,5,Diesel,Manual,Hatchback,A3,94872,1.6,,17249.454545454544,,
Audi A6 Allroad 2.7 TDI AUT Quattro Pro Line,,10,Diesel,Automatic,SUV,A6,160292,2.7,,15265.904761904761,,
Audi A4 Avant 2.0 TDi AUT 06-2014 ::::: Sport Xen Navi Chroom TH,,5,Diesel,Automatic,Station wagon,A4,184000,2.0,,33454.545454545456,,
"Audi A4 1.8 TFSI Pro L. bns Automaat, Leer, Navi, Parkeersensoren, Trekhaak, Xenon, etc.",,10,Petrol,Automatic,Station wagon,A4,185000,1.8,,17619.04761904762,,
Audi A3 1.4 TFSI Sport Pro Line,,1,Petrol,Automatic,Cabriolet,A3,7591,1.4,,5060.666666666667,,
Audi A3 Sportback 1.4 TFSI 140pk COD S-Tronic 2x S-Line AMBITION Pro Line S Xenon Ecc Pdc Leer Keyless Navigatie 5drs.,,5,Petrol,Automatic,Hatchback,A3,113213,1.4,140.0,20584.18181818182,100.0,
Audi A6 2.4 5V Ambition MT,,18,Petrol,Automatic,Sedan,A6,303400,,,16400.0,,
Audi A3 Sportback 1.5 TFSI 150PK S-tronic S line Edition | Mmi navigatie | Led koplampen | 18 inch lichtmetalen velgen,,1,Petrol,Automatic,Hatchback,A3,0,1.5,150.0,0.0,100.0,
Audi A1 1.2 TFSI S edition,,8,Petrol,Manual,Hatchback,A1,110000,1.2,,12941.176470588236,,
"Audi A3 Sportback 1.6 TDI Euro 6 Aut.7 Pro Line, NL Auto, 1e Eig, Leder 1/2, Bi Xenon Led, Pdc, Clima, Cruise, Chroom, Trekhaak, Navigatie, Weinig km!!",,5,Diesel,Automatic,Hatchback,A3,114836,1.6,,20879.272727272728,,
Audi A4 2.0 TDI 150pk Lease Edition,,2,Diesel,Manual,Station wagon,A4,55121,2.0,150.0,22048.4,75.0,
Audi A3 Sportback 1.5 TFSI 150pk COD SPORT S LINE EDITION S-Line interieur & exterieur pakket / MMI Navigatie 18 Inch LM velgen,,1,Petrol,Manual,Hatchback,A3,25692,1.5,150.0,17128.0,100.0,
"Audi S4 3.0 TFSI quattro Pro Line Plus, NP 111K, B&O, schuifdak, ACC, 19""",,1,Petrol,Automatic,Sedan,S4,4887,3.0,,3258.0,,
