index,car_description,price,age,fuel_type,transmission,bodystyle,car_model,mileage,predicted_price
7455,"Audi Q5 2.0 Tfsi 252pk S-tronic Quattro Sport Pro Line S, PDC+camera, Telefoon + Qi laden, Trekhaak",,2,Petrol,Automatic,SUV,Q5,43000,57594.51666666667
7456,Audi A4 1.6 Advance / Airco / APK / trekhaak,,20,Petrol,Manual,Sedan,A4,179464,3743.9
7457,Audi RS4 Avant 4.2 FSI RS4 Quattro,,4,Petrol,Automatic,Station wagon,RS4,78606,62001.333333333336
7458,"Audi A3 Sportback 1.4 TFSI COD ADRENALIN S-LINE! NAVI,CRUISE,PDC, AUDI VERKEERD IN NIEUWSTAAT!",,3,Petrol,Manual,Hatchback,A3,71817,24847.183333333334
7459,"Audi A6 Avant 40 TDI Sport Pro Line S -Matrix LED/B&Q/20""/Pdak/Topview-",,1,Diesel,Automatic,Station wagon,A6,0,80452.53669673459
7460,Audi A1 1.6 TDI Ambition ProLine Bns,,5,Diesel,Manual,Hatchback,A1,142239,13970.866666666667
7461,Audi Q7 3.0 TDI QUATTRO 2x S-LINE [ panoramadak camera xenon led bose ],,8,Diesel,Automatic,SUV,Q7,137961,33831.61666666667
7462,Audi A3 Sportback 1.9 TDI Attraction,,13,Diesel,Manual,Hatchback,A3,287191,4486.15
7463,Audi Q5 3.0 TDI SQ5 quattro Pro Line,,4,Diesel,Automatic,SUV,Q5,76039,42490.61666666667
7464,Audi A8 2.8 V6 AUT Quattro Dak Leer Trekhaak,,24,Petrol,Automatic,Sedan,A8,227904,9707.8
7465,Audi A4 2.0,,17,Petrol,Manual,Station wagon,A4,288000,2298.15
7466,Audi Q3 2.0 TDI Quattro Sport Pro Line S / Automaat,,3,Diesel,Automatic,SUV,Q3,83837,36368.65
7467,Audi A4 1.6 C ADVANCE,,21,Petrol,Manual,Sedan,A4,238671,2330.766666666667
7468,Audi A5 Sportback 2.0 TFSI MHEV 190pk s-tronic S Line Edition,,1,Petrol,Automatic,Hatchback,A5,0,58238.0792900887
7469,Audi A3 Sportback 30TFSI/115pk Lease Edition · Connected services · LED koplampen · Sportstoelen,,1,Petrol,Manual,Hatchback,A3,0,36972.19161391285
7470,"Audi A6 1.8 TFSI 190pk Automaat 18"" Lm-velgen Navigatie",,2,Petrol,Automatic,Sedan,A6,30466,41936.316666666666
7471,Audi A4 Avant 2.0 TDI 150pk S-tronic Lease Edition,,2,Diesel,Automatic,Station wagon,A4,0,55598.30139772266
7472,Audi A4 Cabriolet 2.5 V6 TDI Pro Line Aut. i.z.g.st.,,14,Diesel,Automatic,Cabriolet,A4,207931,7027.766666666666
7473,Audi A8 55 TFSI quattro Pro Line Plus 340 pk Tiptronic,,1,Petrol,Automatic,Sedan,A8,0,156912.2699101592
7474,Audi A4 AVANT 2.0 TDI 190pk QUATTRO Sport S-Tronic Aut.,,2,Diesel,Automatic,Station wagon,A4,124683,31745.316666666666
7475,Audi A6 1.9 TDI 110 PK SEDAN CLIMATE CONTROL,,20,Diesel,Manual,Sedan,A6,567483,2197.8333333333335
7476,Audi A3 Limousine 1.6 TDI AMBITION PRO LINE S | NAVI | XENON | CLIMA |,,5,Diesel,Automatic,Sedan,A3,136625,20947.016666666666
7477,"Audi A3 Sportback 1.2 TFSI Ambition Proline S Automaat, Navi, Clima, Half Leder",,5,Petrol,Automatic,Hatchback,A3,80000,21609.75
7478,Audi A5 Sportback 2.0TFSI 190PK S-TRONIC S-LINE/PANO.DAK/VIRT.COCKPIT/OPTIEK ZWART,,1,Petrol,Automatic,Hatchback,A5,0,58238.0792900887
7479,Audi A6 Sedan 2.0TDi 150pk S-Tronic Sport Edition | Audi Sound | DAB | Inklapbare Buitenspiegels | Fabrieks garantie t/m 12-2019 of 150.000km,,4,Diesel,Automatic,Sedan,A6,43699,31606.366666666665
7480,Audi A4 Avant 2.0 Aut Ecc Trekhaak Cruise Nap,,14,Petrol,Automatic,Station wagon,A4,192185,7467.016666666666
7481,Audi Q3 2.0 TDI PRO LINE *XENON+NAVI+PDC+ECC+CRUISE*,,7,Diesel,Manual,SUV,Q3,170010,21195.283333333333
7482,Audi A7 Sportback 3.0 TDI Quattro BiT Pro Line Plus - 320 pk    138.281,,4,Diesel,Automatic,Hatchback,A7,185000,28276.166666666668
7483,Audi A1 1.4 TFSI Ambition Pro Line Business,,8,Petrol,Manual,Hatchback,A1,147849,9791.65
7484,Audi A1 Ambition 1.4 TFSI S-tronic 122 PK / Climatronic / Telefoon / Cruise Control,,9,Petrol,Automatic,Hatchback,A1,87365,13676.85
7485,"Audi A4 Avant 1.8 TFSI 170pk PRO LINE S [S-LINE] Vol Leer, Navi, Xenon, ECC, LMV",,5,Petrol,Manual,Station wagon,A4,172959,15037.233333333334
7486,Audi A3 2.0 FSI Sportback,,13,Petrol,Manual,Hatchback,A3,175200,6068.416666666667
7487,Audi A6 3.0 TDI BiT quattro Advance Sport,,1,Diesel,Automatic,Station wagon,A6,1081,80634.10969596167
7488,Audi A4 1.8 tfsi 170 PK aut. Pro line business NAVI,,7,Petrol,Automatic,Station wagon,A4,149338,21211.45
7489,Audi A1 Sportback New 30 TFSI 116pk,,0,Petrol,Manual,Hatchback,A1,0,32568.056175660055
7490,Audi A4 Avant 2.0 TDI S-LINE PRO-LINE Aut. Navi Leder/Alcantara Xenon Flippers Trekhaak!,,9,Diesel,Automatic,Station wagon,A4,190149,14289.5
7491,Audi A4 Avant 2.0 TDI 150pk S-Tronic S-Line Navigatie Xenon PDC,,2,Diesel,Automatic,Station wagon,A4,21665,43300.333333333336
7492,Audi A6 Avant New 40 TDI 204pk S tronic Launch Edition Sport,,1,Diesel,Automatic,Station wagon,A6,0,80452.53669673459
7493,Audi A6 2.0 TDI 190PK S-TRONIC ULTRA PREMIUM LEER/BOSE/LED/HEAD UP,,4,Diesel,Automatic,Sedan,A6,71611,30946.333333333332
7494,Audi A8 4.2 TDI QUATTRO PRO LINE,,13,Diesel,Automatic,Sedan,A8,236650,10274.366666666667
7495,Audi A6 2.8 FSI PRO S-LINE Automaat Navi Leder,,9,Petrol,Automatic,Sedan,A6,164845,15248.666666666666
7496,"Audi Q3 1.4 TFSI 150pk Advance Sport S-Tronic, uw voordeel is € 7.550,-",,1,Petrol,Automatic,SUV,Q3,0,49576.28797111235
7497,"Audi A1 Sportback 1.2 TFSI S- LINE Admired, 5drs, 17 inch, Zwart dak, navi",,6,Petrol,Manual,Hatchback,A1,181215,11841.116666666667
7498,"Audi A4 Avant 2.0 TFSI MHEV Sport S line black edition / panoramadak / parkeerhulp achter / 19"" lichtmetalen velgen",,1,Petrol,Automatic,Station wagon,A4,14080,40771.36666666667
7499,Audi Q5 3.0 TDI S-LINE EXTER/INTER.-AUDI EXCLUSIVE-NAVI-XENON-B&O SOUND-TREKHAAK-COMPLEET,,7,Diesel,Automatic,SUV,Q5,152822,25277.533333333333
7500,Audi A3 Sedan 1.6TDi Aut. Attraction Business,,3,Diesel,Automatic,Sedan,A3,97143,25664.683333333334
7501,Audi Q5 2.0 TDI 190PK S-TRONIC (VMO),,2,Diesel,Automatic,SUV,Q5,10888,57022.71666666667
7502,Audi A6 2.4 5V Ambition,,18,Petrol,Manual,Station wagon,A6,310107,2416.2833333333333
7503,Audi Q5 2.0 TDI S-Line*Navi/S-Line Stoelen/B&O/Panodak/Bi-Xenon/LED/Trekhaak wegklapb.*,,4,Diesel,Manual,SUV,Q5,112454,28049.683333333334
7504,Audi A3 1.9 TDI Attraction,,14,Diesel,Manual,Hatchback,A3,282000,4371.9
7505,Audi A5 Coupé 1.8 TFSI PRO LINE S | AUTOMAAT | XENON | NAVI | 19 INCH VELGEN |,,8,Petrol,Automatic,Coupe,A5,89480,20555.2
7506,Audi A4 AVANT 2.0 131pk PROLINE CLIMA-CRUISE-SPORTSTOELEN-LMV,,16,Petrol,Manual,Station wagon,A4,174248,6569.666666666667
7507,Audi A4 2.0 TFSI MHEV 190pk S-tronic S-Line Edition,,1,Petrol,Automatic,Sedan,A4,0,50582.90664290482
7508,Audi A3 Sportback 1.2 TFSI AMBITION,,5,Petrol,Manual,Hatchback,A3,78716,19334.416666666668
7509,Audi A5 Sportback 3.0 TDI quattro Pro Line,,9,Diesel,Automatic,Hatchback,A5,205551,16566.65
7510,Audi A3 2.0 TDI Attraction,,11,Diesel,Manual,Hatchback,A3,282366,4848.233333333334
7511,Audi S3 Sportback 2.0 TFSI S3 quattro S-Tronic Automaat 300 pk **Navi/Led/Xenon/Climate/Cruise/Easy entry/Tel./F1 flippers/Drive select/Slechts 35.254**,,4,Petrol,Automatic,Hatchback,S3,35254,42365.833333333336
7512,Audi A4 Avant 3.0 TDI Pro Line S Automaat * Xenon / Navigatie / Airco-ecc *,,6,Diesel,Automatic,Station wagon,A4,114470,18425.016666666666
7513,Audi A4 Avant 1.8 Turbo Pro Line,,15,Petrol,Manual,Station wagon,A4,331457,2102.4
7514,Audi A6 2.0 TDI ultra Quattro 190pk automaat NP 81.500,,2,Diesel,Automatic,Sedan,A6,100,70188.42470175115
7515,Audi A4 Avant 2.5 TDI MT,,15,Diesel,Automatic,Station wagon,A4,251000,3557.0833333333335
7516,Audi A1 1.2 TFSI Attraction Pro Line Business,,9,Petrol,Manual,Hatchback,A1,128029,10716.8
7517,Audi TT Roadster 2.0 TFSI 200 PK S-Line 19 INCH TT-RS ROTOR VELGEN!!,,12,Petrol,Manual,Cabriolet,TT,129302,15877.683333333332
7518,"Audi A8 50 TDI quattro 3.0 V6 , Panorama dak, led matrix koplampen met laser, oled achterlichten Nieuwprijs € 158.000,=",,1,Diesel,Automatic,Sedan,A8,11585,118912.18333333333
7519,"Audi A1 Sportback 1.0 95 PK TFSI Advance, | 17 ""LMV C3Z | Licht- en Regensensor | *NIEUW* (490382)",,1,Petrol,Manual,Hatchback,A1,0,27813.002916440248
7520,Audi A1 1.2 TFSI Admired S-Line,,5,Petrol,Manual,Hatchback,A1,51043,16053.566666666668
7521,Audi RS3 Sportback 2.5 TFSI 368 PK AUTOMAAT QUATTRO PRO LINE PLUS | Keyless | Bang & Olufsen | Leder | Led Koplampen | Achteruitrijcamera | Navigatie |,,4,Petrol,Automatic,Hatchback,RS3,25191,61287.73333333333
7522,Audi A1 Sportback 1.0 TFSI 95pk Advance Sport,,1,Petrol,Manual,Hatchback,A1,0,27813.002916440248
7523,Audi Q2 1.0 TFSI ULTRA SPORT NAVI LED STOELVER CRUISE,,2,Petrol,Manual,SUV,Q2,18705,32707.133333333335
7524,Audi Q2 1.4 TFSI 150pk S-Tronic S-Line Navigatie PDC,,2,Petrol,Automatic,SUV,Q2,53473,31515.016666666666
7525,Audi A1 Sportback 1.0 TFSI 95PK Advance | Adrenalin Daytonagrijs dak/boog,,1,Petrol,Manual,Hatchback,A1,1201,30755.07581830207
7526,Audi A4 1.8 TFSI Business Edition,,5,Petrol,Manual,Sedan,A4,59800,23440.833333333332
7527,Audi A4 SEDAN 1.8TFSi 170PK S-LINE AUT,,7,Petrol,Automatic,Sedan,A4,119987,21753.866666666665
7528,Audi A3 1.4 TFSI Attr. Pro L,,7,Petrol,Manual,Hatchback,A3,106018,12818.95
7529,"Audi A3 Sportback €4.196,- demovoordeel! 1.0 TFSI Sport Lease Edition 116 pk",,1,Petrol,Manual,Hatchback,A3,13000,28013.65
7530,Audi A4 1.8 TFSI PRO-LINE SPORT NAVI/ECC/LMV,,7,Petrol,Manual,Sedan,A4,129370,16675.916666666668
7531,Audi Q2 150PK TFSI Aut. |HUD|Trekh.|Ambiance|LED|Navi,,1,Petrol,Automatic,SUV,Q2,20987,36639.16111111111
7532,Audi A8 50 TDI 286pk QUATTRO PRO LINE PLUS Virtual Cockpit / MMI Plus / Stuurwiel verwarmd / Dodehoek detector / Head-up Display 20 Inch LM Velgen / Adaptive Cruise Control / B&O Soundsysteem,,1,Diesel,Automatic,Sedan,A8,6500,131746.96013986017
7533,Audi A4 Avant 2.0 TDI Pro Line 140PK/airco-Ecc/alu wielen/Navigatie/Nieuw staat auto!!,,14,Diesel,Manual,Station wagon,A4,250762,5058.716666666666
7534,Audi A6 1.8 TFSI 190 PK ULTRA S-Tronic Navi Camera,,3,Petrol,Automatic,Sedan,A6,37150,44848.05
7535,Audi A3 Limousine Sport Pro Line S 1.6 TDI S-tronic / Navigatie / Parkeersensoren / Apple Carplay,,2,Diesel,Automatic,Sedan,A3,38404,28589.995
7536,Audi A1 1.6 TDI Attraction Pro Line,,8,Diesel,Manual,Hatchback,A1,209176,10710.016666666666
7537,"Audi SQ5 3.0 TFSI SQ5 quattro Pro Line Plus zeer luxe en sportief uitgevoerde 354 pk! deze auto heeft slechts 1,160 km gereden",,1,Petrol,Automatic,SUV,SQ5,1160,101150.59531565658
7538,Audi A5 SPORTBACK 1.8 TFSI Proline S Aut. [ MMI Plus navi Xenon Achteruitrijcamera ],,5,Petrol,Automatic,Hatchback,A5,118333,26669.833333333332
7539,Audi A5 Cabriolet 3.0 TDI quattro S-edition,,9,Diesel,Automatic,Cabriolet,A5,127285,19390.25
7540,"Audi Q5 2.0 TFSI 225pk | Automaat | Quattro | Panodak | S-line | Leer | 20"" | Side Assist | B&O | Zwart | VOL",,4,Petrol,Automatic,SUV,Q5,51116,45272.416666666664
7541,Audi A3 Sportback 1.2 TFSI AMBIENTE PRO LINE Trekhaak Navigatie PDC BTW,,5,Petrol,Automatic,Hatchback,A3,119946,20507.466666666667
7542,Audi A3 Limousine 1.6TDI 116PK S-TRONIC S-LINE EDITION/ OPTIEK ZWART / GETINT GLAS,,1,Diesel,Automatic,Sedan,A3,13975,33476.59444444445
7543,Audi A5 Cabriolet 3.2 FSI Quattro Pro Line - 265 pk   Leer   NL Auto,,10,Petrol,Automatic,Cabriolet,A5,177200,17914.433333333334
7544,Audi A1 Sportback 1.4 TDI PRO LINE WEINIG KM - AUTOM - LMV - 3DEUR - AC -RIJKLAAR!,,3,Diesel,Automatic,Hatchback,A1,16705,26038.333333333332
7545,"Audi A1 Sportback 1.0 95 PK TFSI Advance, | 17 ""LMV C3Z | Licht- en Regensensor | *NIEUW* (490437)",,1,Petrol,Manual,Hatchback,A1,0,27813.002916440248
7546,"Audi Q2 1.0 Tfsi 116pk S-tronic Edition #1 €4.945,= KORTING MEGA STUNTVOORDEEL Mmi navigatie, Soundsystem, Telefoon, PDC",,1,Petrol,Automatic,SUV,Q2,0,42252.942052272585
7547,"Audi Q3 1.4 TFSI 150PK Automaat Pro Line / Navi / Clima / Stoelverwarming / Cruise control / Bluetooth / Parkeersensoren voor en achter / Lederen stuur / 17"" Velgen",,4,Petrol,Automatic,SUV,Q3,21308,33607.433333333334
7548,"Audi A3 Sportback 1.6 TDI Sportback, Airco,Cruisecntrl",,6,Diesel,Manual,Hatchback,A3,90209,16856.083333333332
7549,Audi A3 Limousine 1.6 TDI Ambition Pro Line Navi Airco Sportstoelen 200x Vw-Audi-Seat-Skoda,,5,Diesel,Manual,Sedan,A3,163167,19414.916666666668
7550,"Audi A5 Sportback 1.8 TFSI 170pk PRO LINE S, Navi, Xenon Led, ROTOR, ECC",,7,Petrol,Manual,Hatchback,A5,138567,19185.533333333333
7551,Audi Q2 1.4 TFSI COD Sport Pro Line S,,1,Petrol,Automatic,SUV,Q2,2500,40457.71666666667
7552,Audi A3 Sportback 1.0TFSI 116PK S-LINE EDITION/ OPTIEK ZWART/ PRIVACY GLAS/ 18'',,1,Petrol,Manual,Hatchback,A3,1250,36027.518235701
7553,Audi A6 Avant Aut/ Navi/ Leer/ Tr- 2.8 FSI Business,,11,Petrol,Automatic,Station wagon,A6,177729,15851.733333333334
7554,Audi A3 Limousine 35 TFSI S line edition,,1,Petrol,Automatic,Sedan,A3,0,42683.08304652113
7555,Audi A4 2.0 TDI ULTRA BUSINESS EDITION,,4,Diesel,Manual,Sedan,A4,86272,21720.4
7556,Audi A4 Avant 2.0 TFSI Advance Navi Xenon Clima Trekhaak,,11,Petrol,Manual,Station wagon,A4,164706,10441.0
7557,Audi Q3 2.0TFSI/221PK quattro Sport · LED · Leder/Alcantara · Drive select,,4,Petrol,Automatic,SUV,Q3,30923,36563.01666666667
7558,Audi A3 SPORTBACK 2.0 TDI AMBITION PRO LINE S XENON NAVI CLIMA CRUISE LICHTMETAAL,,8,Diesel,Manual,Hatchback,A3,218727,7892.283333333334
7559,Audi A1 Sportback 95 pk Adrenalin,,1,Petrol,Manual,Hatchback,A1,500,28341.213985557155
7560,"Audi 80 2.0 E youngtimer, taxatierapport aanwezig",,26,Petrol,Manual,Sedan,A80,78555,4895.2
7561,"Audi RS6 (J) AVANT 5.0 TFSI QUATTRO AUT. [ 20"" Lmv Volleder Navigatie ]",,10,Petrol,Automatic,Station wagon,RS6,143637,40819.3
7562,Audi A3 Sportback 1.4 TFSI 150pk Automaat Ambiente Leer/Stof Navigatie Climate,,4,Petrol,Automatic,Hatchback,A3,67933,23874.033333333333
7563,Audi A6 3.0 TDI 204pk QUATTRO PRO LINE PLUS / SPORTSTOELEN / TREKHAAK /,,6,Diesel,Automatic,Station wagon,A6,156617,26675.75
7564,Audi A3 1.4 TFSI Limousine 140pk CoD Ambiente Pro Line Plus Xenon/Navi,,5,Petrol,Manual,Sedan,A3,190205,14702.533333333333
7565,Audi A3 SPORTBACK 1.4TFSI G-TRON Pro Line S Aut. [ 2xS-line Panoramadak 18 inch Rotor velgen ],,5,Petrol,Automatic,Hatchback,A3,139292,19988.566666666666
7566,Audi A1 1.2 TFSI Attraction Pro Line Business,,7,Petrol,Manual,Hatchback,A1,53900,14737.366666666667
7567,Audi SQ5 Q5 3.0 TDI 313 PK AUT8 QUATTRO PRO LINE B&O,,5,Diesel,Automatic,SUV,SQ5,151974,39204.583333333336
7568,Audi A4 AVANT 1.8 TFSI Business Edition Aut. [ xenon navi lederen sportstoelen ],,6,Petrol,Automatic,Station wagon,A4,101194,23653.383333333335
7569,"Audi A3 Sportback 1.0 TFSI Sport Pro Line, Navi, LED, Xenon, Stoelverwarming, Drive Select",,2,Petrol,Manual,Hatchback,A3,9274,26704.905833333334
7570,Audi A6 Avant 2.5 TDI quattro,,17,Diesel,Manual,Station wagon,A6,347324,2825.0333333333333
7571,Audi A6 Avant 40 TDI Launch edition Sport,,1,Diesel,Automatic,Station wagon,A6,0,80452.53669673459
7572,Audi A1 Sportback 1.4TDi Attraction (Navi),,4,Diesel,Manual,Hatchback,A1,75787,14044.8
7573,"Audi A4 Avant 2.0 TDI Pro Line Leer, navi, 6 vernsn.",,13,Diesel,Manual,Station wagon,A4,289926,4741.133333333333
7574,"Audi Q3 2.0 TDI ECC/ 20""ROTOR VELGEN/PRIV.GLASS/BOSE/CV+AB",,7,Diesel,Manual,SUV,Q3,197517,17959.65
7575,Audi SQ5 3.0 TFSI SQ5 quattro,,2,Petrol,Automatic,SUV,SQ5,8895,93974.55
7576,Audi A3 Sportback 2.0 TDI Ambition Pro Line plus Schuifdak Xenon Navi Clima Cruise,,6,Diesel,Manual,Hatchback,A3,134309,14804.066666666668
7577,Audi A6 Allroad 3.0 TDI 245PK QUATTRO PRO LINE PLUS TIPTRONIC Navi / Leder Bekleding / Xenon Verlichting / LMV 20'',,6,Diesel,Automatic,SUV,A6,127850,30071.666666666668
7578,"Audi A1 1.0 TFSI 95pk Advance Sport, uw voordeel is € 2.005,-",,1,Petrol,Manual,Hatchback,A1,0,27813.002916440248
7579,Audi A3 1.6 TDI 77KW SPORTBACK Proline,,5,Diesel,Manual,Hatchback,A3,94872,15768.016666666666
7580,Audi A6 Allroad 2.7 TDI AUT Quattro Pro Line,,10,Diesel,Automatic,SUV,A6,160292,20132.383333333335
7581,Audi A4 Avant 2.0 TDi AUT 06-2014 ::::: Sport Xen Navi Chroom TH,,5,Diesel,Automatic,Station wagon,A4,184000,17026.05
7582,"Audi A4 1.8 TFSI Pro L. bns Automaat, Leer, Navi, Parkeersensoren, Trekhaak, Xenon, etc.",,10,Petrol,Automatic,Station wagon,A4,185000,17072.633333333335
7583,Audi A3 1.4 TFSI Sport Pro Line,,1,Petrol,Automatic,Cabriolet,A3,7591,42569.196626984085
7584,Audi A3 Sportback 1.4 TFSI 140pk COD S-Tronic 2x S-Line AMBITION Pro Line S Xenon Ecc Pdc Leer Keyless Navigatie 5drs.,,5,Petrol,Automatic,Hatchback,A3,113213,20611.0
7585,Audi A6 2.4 5V Ambition MT,,18,Petrol,Automatic,Sedan,A6,303400,2362.0833333333335
7586,Audi A3 Sportback 1.5 TFSI 150PK S-tronic S line Edition | Mmi navigatie | Led koplampen | 18 inch lichtmetalen velgen,,1,Petrol,Automatic,Hatchback,A3,0,41960.6792971421
7587,Audi A1 1.2 TFSI S edition,,8,Petrol,Manual,Hatchback,A1,110000,11455.016666666666
7588,"Audi A3 Sportback 1.6 TDI Euro 6 Aut.7 Pro Line, NL Auto, 1e Eig, Leder 1/2, Bi Xenon Led, Pdc, Clima, Cruise, Chroom, Trekhaak, Navigatie, Weinig km!!",,5,Diesel,Automatic,Hatchback,A3,114836,20857.7
7589,Audi A4 2.0 TDI 150pk Lease Edition,,2,Diesel,Manual,Station wagon,A4,55121,31302.766666666666
7590,Audi A3 Sportback 1.5 TFSI 150pk COD SPORT S LINE EDITION S-Line interieur & exterieur pakket / MMI Navigatie 18 Inch LM velgen,,1,Petrol,Manual,Hatchback,A3,25692,29644.80555555556
7591,"Audi S4 3.0 TFSI quattro Pro Line Plus, NP 111K, B&O, schuifdak, ACC, 19""",,1,Petrol,Automatic,Sedan,S4,4887,84110.28944169394
7592,Audi A3 Limousine 1.5 TFSI CoD 150pk S-tronic S-Line Edition + Panoramadak,,1,Petrol,Automatic,Sedan,A3,0,42683.08304652113
7593,Audi A1 A1 Sportbak Edition ONE 30TFSI handgeschakeld,,1,Petrol,Manual,Hatchback,A1,500,28341.213985557155
7594,Audi S4 3.0 TFSI S4 QUATTRO 333PK Navi Leer Clima Adapt cruise,,6,Petrol,Automatic,Sedan,S4,93881,31251.516666666666
7595,Audi Cabriolet A5 2.0 TFSI 270pk ABT quattro Pro Line S | Automaat | Bi-Xenon | Leder | 18'' | Navigatie | Rijklaarprijs!,,6,Petrol,Automatic,Cabriolet, A5,107676,29286.766666666666
7596,Audi A8 50 TDI 286 PK quattro PRO LINE PLUS 4 WIELBESTURING|TIPTRONIC|20 INCH|VALCONA LEDER|PANORAMADAK|REARSEAT ENTERTAINMENT,,1,Diesel,Automatic,Sedan,A8,11700,118905.48333333334
7597,Audi A3 Sportback 1.4 TFSI STR Amb Pro L plus XENON NAVI CLIMA SPORTST,,6,Petrol,Automatic,Hatchback,A3,115366,18890.833333333332
7598,Audi A1 Sportback 30 TFSI S Line Pro Line S S-tronic,,1,Petrol,Automatic,Hatchback,A1,0,36493.52751894957
7599,Audi A5 1.8 TFSI 177pk multitronic,,2,Petrol,Automatic,Hatchback,A5,29000,44057.61666666667
7600,Audi A3 Sportback 1.2 TFSI 105pk Attraction Advance Climate Navigatie Xenon,,6,Petrol,Manual,Hatchback,A3,108045,16667.516666666666
7601,Audi A6 Avant 2.8 FSI 190 PK AUTOMAAT PRO LINE | Leder | Navigatie | Elektrisch verstelbare voorstoelen | 18 Inch Lichtmetalen Velgen |,,10,Petrol,Automatic,Station wagon,A6,97373,25409.1
7602,"Audi A3 Sportback 2.0 TDI Ambition Proline 140PK stoelverwarming, getint glas, trekhaak",,8,Diesel,Manual,Hatchback,A3,199807,7812.5
7603,Audi TT S-LINE 2.0 QUATTRO AUTOMAAT + SPORTSTOELEN / KEYLESS GO,,4,Petrol,Automatic,Coupe,TT,63365,40522.0
7604,"Audi Q5 2.0 TFSI Quattro 252PK Automaat S Line Edition / S-Line / Audi Sound / Parkeerhulp Plus / Akoestisch Glas / Afgevlakt lederen stuur / LED / Clima / Navi / Cruise Control / Bluetooth / 19"" Velgen",,1,Petrol,Automatic,SUV,Q5,0,81341.5328091149
7605,Audi A5 Sportback 1.4 TFSI Sport,,1,Petrol,Automatic,Hatchback,A5,4904,50434.816666666666
7606,Audi A3 sportback 1.9 TDI Attraction 77kW,,13,Diesel,Manual,Hatchback,A3,215256,6268.95
7607,Audi Q2 30 TFSI Design Pro Line,,1,Petrol,Manual,SUV,Q2,0,36602.27177051021
7608,Audi A3 Sportback 1.4 TFSI 125PK S-Tronic Adrenalin Sport | S-Line in-/exterieur | Navigatie | Xenon | Climatronic | Parkeersensoren achter | Regen-/lichtsensor | Verlengde fabrieksgarantie t/m 16-02-2020 of 100.000 km | Elektrische ramen | Zwarte hemel | 18 inch lichtmetalen velgen | Leder/stof bekleding,,3,Petrol,Automatic,Hatchback,A3,45741,27036.65
7609,"Audi Q3 2.0 Tdi 140pk Sport Edition, Parkeersensoren, Mmi navigatie, Telefoon, Airco",,5,Diesel,Manual,SUV,Q3,86181,26254.7
7610,Audi R8 4.2 V8 FSI R-tronic B&O Magnetic Ride,,11,Petrol,Automatic,Coupe,R8,104284,54788.63333333333
7611,"Audi Q5 2.0 TFSI 225pk Quattro Pro Line S + 20"" LMV + Leder",,6,Petrol,Manual,SUV,Q5,97225,29310.45
7612,Audi Q5 New 2.0 TFSI 252pk Quattro Sport Design,,2,Petrol,Automatic,SUV,Q5,1990,70478.48083333333
7613,"Audi A3 1.6 TDI Ambiente Pro Line plus, Navigatie",,5,Diesel,Manual,Hatchback,A3,134846,14358.466666666667
7614,Audi A3 Sportback 1.4 TFSI Attr. ProLine Business | 1e Eig | Topstaat,,8,Petrol,Manual,Hatchback,A3,97061,12042.766666666666
7615,Audi A3 Sportback 1.0 TFSI 116PK Sport Pro Line S / 18 inch LM velgen / Sportstoelen /Matrix Led koplampen / stof-leder combinatie Navigatie MMI / Dynamische knipperlichten V + A / Audi Drive select,,2,Petrol,Automatic,Hatchback,A3,29445,29090.183333333334
7616,Audi A4 2.0 TDI 150pk S-tronic Lease Edition,,1,Diesel,Automatic,Station wagon,A4,25000,43235.36666666667
7617,Audi A6 Avant 2.0 TFSI PRO LINE AUTOMAAT B.J 2008,,11,Petrol,Automatic,Station wagon,A6,185753,10877.333333333334
7618,Audi R8 Spyder 5.2FSI V10 S-Tronic |B&O|Mag.ride|Ruitenstiks.|Lederpakket|Quattro,,6,Petrol,Automatic,Cabriolet,R8,38000,112606.46666666666
7619,Audi A5 Sportback 1.8 TFSI 144PK Adrenalin ( S-Line exterieur) / Bi-Xenon koplampen / Sportstoelen / Lendensteunen / PDC voor  & achter / achteruitrij camera / Bang & Olufsen Sound / Trekhaak afneembaar,,3,Petrol,Manual,Hatchback,A5,40711,29967.7
7620,Audi Q5 2.0 TDI quattro 190pk Standkachel Bi Xenon Trekhaak VOl OPTIES,,4,Diesel,Automatic,SUV,Q5,109617,39582.45
7621,Audi A5 Sportback 2.0 TDI Pro Line AUTOMAAT ECC XENON LMV ADAPT. CRUISE CONTROL 5 PERSOONS,,5,Diesel,Automatic,Hatchback,A5,112160,27913.383333333335
7622,Audi A5 Sportback S-Line Edition 2.0 TFSI 190pk S-tronic,,1,Petrol,Automatic,Hatchback,A5,0,58238.0792900887
7623,Audi A3 Sedan 1.6TDi Adrenalin S-line Ext.,,3,Diesel,Manual,Sedan,A3,109743,22974.516666666666
7624,Audi A4 Avant 2.0 TDI Pro Line S | Bang&Oluffsen | Pano | Navigatie,,6,Diesel,Automatic,Station wagon,A4,118000,20246.6
7625,"Audi A3 Sportback 1.4 TFSI Ambition 150PK S-Tronic Automaat Navigatie | Xenon Plus | Drive Select | Parkeersensoren | 17"" Sportvelgen",,2,Petrol,Automatic,Hatchback,A3,15000,29653.333333333332
7626,Audi 50 A7 Sportback TDI 286 pk PRO LINE S * PANORAMADAK * B&O * 21 INCH * ZWART OPTIEK * VSB4846,,1,Diesel,Automatic,Hatchback,A7,0,130088.25426935045
