index,car description,price (euro),age (year),fuel type,transmission,bodystyle,car model,mileage (km)
4752,Audi A6 Pro line S 50 TDI quattro special edition,78750.0,1,Diesel,Automatic,Sedan,A6,0
4753,Audi A1 SB Nw model 1.0 TFSI 116PK Aut. EDITION ONE! |Turboblauw|18''|Ledkopl.,39750.0,1,Petrol,Automatic,Hatchback,A1,0
4754,Audi A4 2.0 MT,2300.0,18,Petrol,Automatic,Sedan,A4,250459
4755,Audi A3 1.5 TFSI 150pk CoD S Line Edition | Bang & Olufsen Soundsystem | MMI navigatie | Panoramadak |,36700.0,1,Petrol,Automatic,Hatchback,A3,29990
4756,Audi RS6 Avant 4.0 TFSI Quattro Performance | Widebody Prior Design | Innotech Uitlaat | 730 pk,183700.0,2,Petrol,Automatic,Station wagon,RS6,10995
4757,Audi A1 Sportback 1.0 TFSI 95pk Advance Sport + Zwart dak + ECC,27750.0,1,Petrol,Manual,Hatchback,A1,500
4758,Audi A6 2.0 TFSI 125KW AUT S-LINE,12450.0,9,Petrol,Automatic,Sedan,A6,193855
4759,Audi A3 Sedan 1.4TFSi S-Edition,23500.0,4,Petrol,Manual,Sedan,A3,117547
4760,Audi A3 Limousine 1.5 TFSI 150PK S-tronic CoD Sport S Line Edition | S-Line interieur/exterieur | Navigatie MMI+ | Audi Virtual Cockpit | LED | Cruise Control | Climatronic | Verlengde garantie t/m 2-1-2022 of 100.000 km | 18 inch lichtmetalen velgen | Sportstoelen | Parkeersensoren achter | Regen-/lichtsensor | Voorbere,37750.0,1,Petrol,Automatic,Sedan,A3,19924
4761,Audi A6 Avant 2.0 TDI 150PK AUTOMAAT S-LINE EDITION,42900.0,2,Diesel,Automatic,Station wagon,A6,34787
4762,Audi S3 Sportback Quattro Pro Line Plus B&O Keyl,39300.0,4,Petrol,Manual,Hatchback,S3,53073
4763,Audi A5 Sportback 2.0 TFSI 190pk Sport Pro Line S Optiek zwart | Donker glas | *NIEUW* (572425),56300.0,1,Petrol,Automatic,Hatchback,A5,0
4764,Audi A4 Avant 2.0 TDi 06-2015 ::::: Xenon Leder NaviXXL LED DVD TH ::::,18750.0,4,Diesel,Manual,Station wagon,A4,143877
4765,Audi A4 Avant Lease edition 40 TFSI MHEV S tronic 190 pk,55250.0,0,Petrol,Automatic,Station wagon,A4,0
4766,Audi A3 Limousine Lease Edition 30 TFSI S tronic,41450.0,1,Petrol,Automatic,Sedan,A3,0
4767,"Audi A6 Avant 2.0 TFSI 180PK Pro Line Plus Autom, Panoramadak, Navi, ECC, Drive Select",26150.0,6,Petrol,Automatic,Station wagon,A6,159069
4768,Audi A3 Limousine 1.6 TDI // NAVI CLIMA LMV,17250.0,5,Diesel,Manual,Sedan,A3,55015
4769,Audi A3 Sportback 2.0 TDI 140pk Ambition 1e Eigenaar,10650.0,12,Diesel,Manual,Hatchback,A3,237500
4770,"Audi A4 1.8 TFSI S-LINE AUTOMAAT 2X S-LINE / BANG & OLUFSEN  / 19 ""LM / SPORTSTOELEN HALF LEER / ZWARTE HEMEL / XENON / NAVIGATIE / SPORTONDERSTEL",26200.0,5,Petrol,Automatic,Sedan,A4,51201
4771,Audi TT Roadster 1.8 TFSI Airco * Lm velgen * El dak * Leer * Stoelverwarming,9900.0,11,Petrol,Manual,Cabriolet,TT,217932
4772,Audi A1 Sportback 1.0 TFSI 116 PK EPIC EDITION / VIRTUAL COCKPIT / PDC / 17'',31650.0,1,Petrol,Manual,Hatchback,A1,0
4773,Audi S3 SB 310PK |B&O|Matrix|PANO|ACC|DAB+|Quattro,62900.0,1,Petrol,Automatic,Hatchback,S3,7080
4774,Audi A3 2.0 TDI 140pk Leer Open dak Clima Stoelverw 17inch Ambition Pro Line,4600.0,14,Diesel,Manual,Hatchback,A3,270465
4775,Audi Q2 1.4 TFSI Launch edition S line 110 kW / 150 pk,43950.0,1,Petrol,Manual,SUV,Q2,7501
4776,Audi A4 Allroad 2.0 TDI QUATTRO PRO LINE S-TRONIC 190pk Navi / Automaat,34600.0,4,Diesel,Automatic,SUV,A4,41752
4777,Audi RS4 Avant 4.2 FSI Quattro 450 PK / B&O / Panoramadak / Achteruitrijcamera,54550.0,7,Petrol,Automatic,Station wagon,RS4,84011
4778,"Audi A1 Sportback 1.0 TFSI ADRENALIN 5-drs Navi,16Inch,Cruise,Clima 2016 km 60.800 1e eigenaar",17800.0,3,Petrol,Manual,Hatchback,A1,62842
4779,Audi A4 AVANT 1.8 TFSI 160PK PRO LINE NAVIGATIE,12500.0,10,Petrol,Manual,Station wagon,A4,160518
4780,Audi A3 Sportback 1.4 TFSI Attraction Clima LM velgen Navi 141000km!,8400.0,11,Petrol,Manual,Hatchback,A3,141262
4781,Audi A4 2.0 EXCLUSIVE,3500.0,18,Petrol,Manual,Sedan,A4,240239
4782,Audi RS6 Avant 4.2 v8 QUATTRO biturbo orgineel slechts 88.524 km!,36650.0,15,Petrol,Automatic,Station wagon,RS6,88524
4783,Audi A3 2.0 TDI AMBITION PRO LINE PLUS | SPORTSTOELEN | NAVI | XENON | L-METAAL,13550.0,7,Diesel,Manual,Hatchback,A3,128443
4784,Audi A4 1.4TFSI 150PK SPORT S-LINE EDITION AUTOMAAT|NAVIGATIE|LED|PARKEERHULP ACHTER|BTW|CLIMATE CONTROL|ISOFIX,39100.0,1,Petrol,Automatic,Sedan,A4,28353
4785,Audi A4 Avant 2.0 TFSI 252pk QUATTRO SPORT PRO LINE S Automaat 19 Inch LM velgen / Audi Connect / Parkeersensoren voor & achter LED Koplampen,44050.0,3,Petrol,Automatic,Station wagon,A4,76839
4786,"Audi A5 CABRIO 2.0 TDI SPORT NP 93.700,-",73350.0,2,Diesel,Automatic,Cabriolet,A5,5860
4787,"Audi A4 Sedan 1.8 TFSI ABT 211pk PRO LINE BUSINESS Navi, Mf Stuur, ECC, LMV",21950.0,7,Petrol,Manual,Sedan,A4,109836
4788,Audi Q5 2.0 TFSI quattro Sport S Line Edition,89350.0,1,Petrol,Automatic,SUV,Q5,0
4789,Audi A4 Avant 3.0 TDI quattro S-line Automaat Leer/Bose!,6200.0,14,Diesel,Automatic,Station wagon,A4,315183
4790,"Audi A4 2.0TDI Proline Navi, Leder, lmv, airco",14700.0,8,Diesel,Manual,Station wagon,A4,183621
4791,Audi A6 Avant 2.0TDi Aut. Business Edition,27200.0,5,Diesel,Automatic,Station wagon,A6,105481
4792,Audi A1 A1 Sportback Attraction 1.2 TFSI Pro Line S,16750.0,5,Petrol,Manual,Hatchback,A1,26128
4793,Audi A3 1.8 TFSI Ambiente Pro Line,10500.0,10,Petrol,Automatic,Hatchback,A3,182097
4794,"Audi Q2 1.0 TFSI 115PK Sport MMI navi, LED verlichting, Airco",30900.0,1,Petrol,Manual,SUV,Q2,18458
4795,Audi Q8 50 TDI NP.152K! 22INCH+TREKHAAK+STANDKACHEL,136450.0,1,Diesel,Automatic,SUV,Q8,3500
4796,Audi A4 Limousine 1.8 TFSI Pro Line,11500.0,11,Petrol,Manual,Sedan,A4,149175
4797,"Audi TT Roadster 2.0 TFSI 230pk Automaat Pro Line S Navigatie Xenon 18"" Lm-velgen",46100.0,2,Petrol,Automatic,Cabriolet,TT,10584
4798,Audi Cabriolet A3 1.8 TFSI S-tronic Pro Line Plus | Navigatie | Xenon | PDC | 17'' Lm velgen |,28250.0,5,Petrol,Automatic,Cabriolet, A3,74610
4799,Audi A6 2.0 TFSI Pro Line S,27800.0,6,Petrol,Automatic,Sedan,A6,81400
4800,"Audi A3 (VW GOLF) 1.2 TSI 5drs Highline 179,- p/m! (navi,privacy glass,pdc)",14600.0,5,Petrol,Manual,Hatchback,A3,182542
4801,"Audi A1 1.4 TFSI Admired Cruise control, 17inch, Navigatie.",16750.0,5,Petrol,Manual,Hatchback,A1,90558
4802,Audi A3 Limousine 1.5 TFSI CoD ultra 150pk S tronic S Line Edition,46350.0,0,Petrol,Automatic,Sedan,A3,0
4803,Audi A3 Sportback 1.6 TDi Pro Line Airco Navi Leer,10450.0,5,Diesel,Manual,Hatchback,A3,205497
4804,Audi A4 Avant 1.8 TFSI S-LINE 2X S-LINE / SPORTSTOEL HALF LEER ALCANTARA / SPORTONDERSTEL / 18'' LM/,22000.0,6,Petrol,Manual,Station wagon,A4,125693
4805,Audi A3 Limousine 1.6 TDI AMBITION PRO LINE PLUS Xenon/Navi/ECC *All in prijs*,24100.0,4,Diesel,Manual,Sedan,A3,46516
4806,"Audi A3 Sportback 1.0 TFSI 115 PK Sport Pro Line Sportstoelen, Navigatie, stoelverwarming, Verlengde garantie",27700.0,1,Petrol,Manual,Hatchback,A3,9875
4807,Audi A3 Sportback 30 TFSI Sport S Line Edition 85 kW / 116 pk,40800.0,0,Petrol,Automatic,Hatchback,A3,0
4808,Audi A6 Avant 40 TDI Sport 150 kW / 204 pk,74200.0,1,Diesel,Automatic,Station wagon,A6,0
4809,"Audi A3 Sportback 1.8 TFSI Ambition 161PK met groot navi, xenon, ecc, lmv 17 en dealer onderhouden!",8850.0,12,Petrol,Manual,Hatchback,A3,128262
4810,Audi A3 Sportback 1.2TFSi Aut. Ambiente Advance,15650.0,7,Petrol,Automatic,Hatchback,A3,66294
4811,Audi A4 Avant 2.0 TFSI Pro Line Xenon Cruise Control,13050.0,10,Petrol,Manual,Station wagon,A4,145925
4812,Audi Q2 1.0 TFSI Sport Pro Line - Automaat - Navigatie,31500.0,2,Petrol,Automatic,SUV,Q2,11327
4813,Audi A3 Sportback 1.2 TFSI ATTRACTION PRO LINE NAVI / L.M. 17 INCH / CRUISE CONTROL / NL-AUTO,19900.0,5,Petrol,Manual,Hatchback,A3,59689
4814,Audi A1 Sportback 1.4 TFSI 140PK ADMIRED S-LINE EXT NAVI/PDC/PRIVACYGLASS,16750.0,5,Petrol,Manual,Hatchback,A1,103307
4815,Audi A1 Sportback 1.0 TFSI 95Pk Adrenalin -Navi/S Line ext.-,19700.0,2,Petrol,Manual,Hatchback,A1,29767
4816,Audi A3 Limousine 1.4 TFSI 150pk Attraction Climate control Navigatie Parkeersenso,19850.0,4,Petrol,Manual,Sedan,A3,54211
4817,"Audi A3 Sportback 2.0 TDi 140 pk S-Line - 6-Bak, Navigatie, Xenon, Airco/ECC, CruiseControl, Parkeersensoren, Stoelverwarming",9450.0,8,Diesel,Manual,Hatchback,A3,226505
4818,Audi A1 Sportback 1.0 TFSI 96PK Sport S Line Edition / Climate control / Bi-Xenon / Led lampen achter / 17 inch LM velgen / Sportstoelen / Navigatie MMI / S-Line pakket / Cruise control / Stof-leder combinatie,23000.0,2,Petrol,Manual,Hatchback,A1,19886
4819,Audi A6 Avant 40 TDI Launch Edition Sport 150 kW / 204 pk,86700.0,1,Diesel,Automatic,Station wagon,A6,0
4820,Audi A5 2.0 TFSI 191pk ULTRA LAUNCH EDITION Automaat,41900.0,2,Petrol,Automatic,Coupe,A5,35967
4821,"Audi S4 Avant 4.2i-V8 quattro (Cruise & Climate Ctrl.,Navigatie,Recaro Intr.,MET GARANTIE*)",17300.0,12,Petrol,Manual,Station wagon,S4,158526
4822,Audi A1 1.6 TDI Attraction Pro Line Business,11450.0,5,Diesel,Manual,Hatchback,A1,179820
4823,Audi A3 Limousine 1.0 TFSI Sport Lease Edition,27700.0,2,Petrol,Automatic,Sedan,A3,31645
4824,Audi A1 Sportback 95 pk Adrenalin,27800.0,1,Petrol,Automatic,Hatchback,A1,500
4825,Audi A5 Cabriolet 1.8 TFSI S-Line,38700.0,3,Petrol,Automatic,Cabriolet,A5,32729
4826,Audi A1 Sportback 1.0 TFSI 95pk Advance,24100.0,1,Petrol,Manual,Hatchback,A1,0
4827,Audi A1 Sportback 1.4 TFSI Pro Line S *SCHUIF/KANTELDAK*LED/XENON*,20700.0,5,Petrol,Automatic,Hatchback,A1,42714
4828,Audi A6 Allroad 3.0 TDI AV QUATTRO 171KW AUTOMAAT Quattro Pro Line,9400.0,12,Diesel,Automatic,Station wagon,A6,247855
4829,"Audi A3 Sportback 1.0 TFSI 115 PK Sport Pro Line Verlengde garantie, Sportstoelen, Navigatie",27200.0,1,Petrol,Manual,Hatchback,A3,8670
4830,Audi A4 2.0 TDI Pro Line S Xenon Led Stoelverwarming,13500.0,8,Diesel,Manual,Sedan,A4,131026
4831,Audi A1 Sportback 1.2 TFSI 86pk Admired,17800.0,5,Petrol,Manual,Hatchback,A1,27609
4832,Audi A3 Sportback 1.6 TDI Attraction Pro Line plus,14600.0,4,Diesel,Manual,Hatchback,A3,171749
4833,Audi A6 3.0 TDI BiT Competition 326PK Panodak Matrix S-stoelen ACC Bose,52450.0,4,Diesel,Automatic,Station wagon,A6,104929
4834,"Audi A3 Limousine 2.0 TDI Ambition Pro Line S , S-LINE , NAVI , LMV18 , XENON , ZWARTE HEMEL ,",19700.0,5,Diesel,Manual,Sedan,A3,150151
4835,"Audi A4 1.4TFSI/150pk Sport S line edition · Navigatie · Connected Services · 18""LM velgen",48000.0,1,Petrol,Automatic,Sedan,A4,0
4836,Audi TT 1.8 5V Turbo Nieuwe distributieriem,9400.0,16,Petrol,Manual,Coupe,TT,95671
4837,Audi A3 Sportback 1.6 TDI AUT Amb. PL.S.,10450.0,7,Diesel,Automatic,Hatchback,A3,207892
4838,"Audi A3 Sportback 1.4 TFSI 122pk 2x S-line / Navi/PDC/Xenon/18""",19350.0,6,Petrol,Manual,Hatchback,A3,135752
4839,Audi A4 Avant S line Black Edition,59800.0,1,Petrol,Automatic,Station wagon,A4,500
4840,"Audi A3 Sportback 1.0 TFSI 116PK Automaat Lease Edition / Navi / LED koplampen / Clima / Lederen stuur / Bluetooth / Cruise Control / 18"" Velgen",38850.0,1,Petrol,Automatic,Hatchback,A3,0
4841,"Audi RS5 4.2 FSI Quattro DSG Automaat, Leder, Pano, Navi, Camera, Clima, Full Option.",36200.0,9,Petrol,Automatic,Coupe,RS5,94151
4842,Audi A4 Avant 2.0 TFSI Pro Line Business | NAVIGATIE | TREKHAAK |,11300.0,10,Petrol,Manual,Station wagon,A4,184126
4843,Audi Q7 3.0 TDI QUATTRO PRO LINE S,60900.0,4,Diesel,Automatic,SUV,Q7,117505
4844,Audi A6 Avant 40 TDI Sport Launch edition Sport,73500.0,1,Diesel,Automatic,Station wagon,A6,0
4845,Audi Q5 3.0 TDI quattro Sport S Line Edition 286 pk tiptronic quattro (vsb 18664) voorraaddeal,111300.0,1,Diesel,Automatic,SUV,Q5,0
4846,"Audi Q3 Nieuw: €50.261,- 1.4 TFSI 150PK Automaat COD Advance / Navi / 19"" LMV / Parkeerhulp Plus / Clima / Optiek pakket zwart / Zwarte Hemel / Cruise Control",45050.0,1,Petrol,Automatic,SUV,Q3,15000
4847,Audi Q2 1.0 TFSI 116pk S-tronic #limited,40950.0,1,Petrol,Automatic,SUV,Q2,0
4848,Audi A3 Sportback 1.0 TFSI Automaat Design - Nav | Trekh | PDC v/a | Cruise,30400.0,1,Petrol,Automatic,Hatchback,A3,8233
4849,Audi S4 Avant 3.0 TFSI S4 Quattro Automaat,20900.0,9,Petrol,Automatic,Station wagon,S4,176670
4850,Audi A6 Avant 1.8 TFSI 190pk ULTRA S LINE EDITION Panoramadak / Parkeersensoren voor & achter / MMI Plus navigatie / Zwart optiekpakket,58750.0,1,Petrol,Automatic,Station wagon,A6,34600
4851,Audi RS6 4.0 TFSI quattro Pro Line Plus Carbon*360gr*21Inch*Navi*561PK 1e eigenaar,72400.0,6,Petrol,Automatic,Station wagon,RS6,110601
4852,Audi A1 Sportback 1.2 TFSI 86PK S-Line xenon nav tel trekhaak lmv17,17250.0,5,Petrol,Manual,Hatchback,A1,49669
4853,Audi A4 2.0 TDI 120pk,15700.0,10,Diesel,Manual,Sedan,A4,127992
4854,"Audi A3 Limousine 30 Tfsi 116pk S-tronic S Line Edition, Parkeersensoren, LED, Mmi navigatie, Telefoon",41750.0,1,Petrol,Automatic,Sedan,A3,0
4855,Audi A8 50 TDI quattro Pro Line Plus 210 kW / 286 pk .,119100.0,1,Diesel,Automatic,Sedan,A8,0
4856,Audi Q7 3.0 TDI QUATTRO S line Xenon Leer,14650.0,12,Diesel,Automatic,SUV,Q7,264362
4857,Audi A6 2.4 Pro Line Business,9400.0,13,Petrol,Automatic,Sedan,A6,149894
4858,Audi A1 1.4 TFSI Attraction |2 Eigenaren|Stoelverwarming|PDC|Originele Kilometers|,12450.0,7,Petrol,Manual,Hatchback,A1,104414
4859,Audi A1 Sportback 1.0 TFSI Adrenalin *Leder*Pano Schuif/kanteldak*Climate Controle*,21450.0,2,Petrol,Manual,Hatchback,A1,34821
4860,Audi A5 Sportback S-Line Edition 2.0 TFSI 190pk S-tronic,59800.0,1,Petrol,Automatic,Hatchback,A5,500
4861,"Audi A5 Sportback 1.4 FSI 150PK Automaat Sport Pro Line / Navi / Clima / Elektrisch Inklapbare Spiegels / LED / Afgevlakt Multi F. Stuurwiel / Cruise Control / 19"" Velgen",47650.0,1,Petrol,Automatic,Hatchback,A5,0
4862,Audi A1 Sportback 1.0 TFSI Pro Line Dealer Onderhouden! Automaat Navi Cruise Control Airco LMV LED 11dKM!!,22000.0,3,Petrol,Automatic,Hatchback,A1,11153
4863,Audi A4 1.8 TFSI LEDER  CRUISE CONTROL CLIMATE CONTROL  PARKEERSENSOREN,12550.0,11,Petrol,Manual,Sedan,A4,76754
4864,Audi A6 Avant 2.0 TDi 12-2013 ::::: Bose Leder NaviXXL ParkAssist+ :::::,20500.0,6,Diesel,Manual,Station wagon,A6,119072
4865,Audi A3 Sportback 1.4 TFSI 141PK COD AMBITION PRO LINE PLUS NAVI-XENON-ECC-CRUISE-PDC-LMV,19900.0,5,Petrol,Manual,Hatchback,A3,114247
4866,Audi Q2 1.0 TFSI 116pk Design Pro Line | volaut Airco | Soundsysteem | Alu inleg | *NIEUW* (559655),34100.0,1,Petrol,Manual,SUV,Q2,0
4867,Audi A6 Allroad 3.0 TDI BIT QUATTRO PRO LINE PLUS | 313 PK | NAVI | PANODAK | LEDER | CAMERA |,42000.0,5,Diesel,Automatic,Station wagon,A6,124337
4868,Audi A1 Sportback 30 TFSI 116PK Advanced | Virtual cockpit | Led koplampen | 16 inch lichtmetalen velgen,36050.0,1,Petrol,Manual,Hatchback,A1,0
4869,Audi Q3 2.0 TFSI Quattro 211PK S-Tronic Automaat,29400.0,7,Petrol,Automatic,SUV,Q3,88426
4870,Audi A4 1.8 LEDER   NAVI INCL 6 MND BOVAG,8350.0,12,Petrol,Manual,Station wagon,A4,200930
4871,"Audi A4 Avant 1.9 TDi Advance Navigatie, ECC, PDC, 16 Inch LMV, Cruise Control",5700.0,11,Diesel,Manual,Station wagon,A4,241280
4872,Audi A1 Design Pro Line Plus 1.0 TFSI S-Tronic / Navigatie / Parkeersensoren / Stoelverwarming,18850.0,3,Petrol,Automatic,Hatchback,A1,38971
4873,"Audi A4 Avant 2.0 TDI 150pk Pro Line Automaat RIJKLAAR!! clima, stoelverwarming, lm-velgen, full map navigatie, blanke dakrailing, chromen raamlijsten, parkeersensoren voor+achter, stoelverwarming, cruise control",21000.0,5,Diesel,Automatic,Station wagon,A4,77728
4874,Audi A3 Limousine 2.0 TDI 2x S-Line VOL Acc/Elek.Stoel/Keyless/Navi/Pano/Standkachel 150pk S-tronic Nieuwprijs €59.489 !!,30250.0,3,Diesel,Automatic,Sedan,A3,39942
4875,"Audi A3 TDI PRO-LINE SPORT,XENON NAVI/XENON/PDC",13600.0,6,Diesel,Manual,Hatchback,A3,177436
4876,"Audi Coupe A5 1.8 TFSI Pro Line S Navi, Xenon, Stoelverwarming, PDC",15700.0,7,Petrol,Manual,Coupe, A5,188942
4877,Audi A5 2.7 TDI Pro Line | VOL! | 2. EIG | Leer | Clima | Elec. stoelen!,11450.0,11,Diesel,Automatic,Coupe,A5,194367
4878,"Audi Q2 1.4 150pk TFSI #limited Aut. €1500,- Inruilpremie | Direct leverbaar | LED | Climatronic | Maps",40750.0,1,Petrol,Automatic,SUV,Q2,0
4879,Audi A3 Limousine 30 TFSI Sport S Line Edition 116 pk S tronic (vsb 19693) voorraaddeal,41250.0,1,Petrol,Automatic,Sedan,A3,0
4880,Audi A1 1.2 TFSI Ambition / 2x S-LINE / NAVI / ZWART OPTIEK,16750.0,6,Petrol,Manual,Hatchback,A1,25590
4881,Audi A6 Avant New 40 TDI 204pk S tronic Launch Edition Sport,76050.0,1,Diesel,Automatic,Station wagon,A6,0
4882,Audi A4 1.4 TFSI Sport S line edition 150 pk S tronic (vsb 20599) voorraaddeal,47200.0,1,Petrol,Automatic,Sedan,A4,0
4883,"Audi A6 2.0 TDI Advance, Navigatie, Climate control, Leren bekleding, Cruise control, Trekhaak.",17800.0,8,Diesel,Automatic,Station wagon,A6,122913
4884,Audi A6 Avant 2.0 TDI 150PK ULTRA AUTOMAAT SPORT EDITION S-LINE MMI PLUS NAVI,36650.0,3,Diesel,Automatic,Station wagon,A6,108329
4885,Audi S5 3.0 TFSI Quattro Coupé Pro Line 333PK,41950.0,6,Petrol,Automatic,Coupe,S5,60141
4886,Audi A3 SPORTBACK 1.4 TFSI S-TRONIC 90KW S-LINE,14650.0,6,Petrol,Automatic,Hatchback,A3,217656
4887,Audi A6 2.0 TFSi 180pk Aut. Avant Sport Edition | Navi | Xenon | BOSE | 1e eigenaar,35100.0,4,Petrol,Automatic,Station wagon,A6,85751
4888,Audi Q2 30 TFSI 116 pk S-tronic Sport Pro Line S,41950.0,1,Petrol,Automatic,SUV,Q2,0
4889,Audi 80 1.8 S,5150.0,29,Petrol,Manual,Sedan,A80,165604
4890,"Audi A3 Limousine 1.5 TFSI 150PK S-LINE S-Tronic | 19"" Velgen, Optiek zwart, Leder/alcantara, Achteruitrijcamera etc.",40750.0,1,Petrol,Automatic,Sedan,A3,8813
4891,Audi A3 Sportback 1.2 TFSI Ambition Pro S-LINE *XENON+1/2LEDER+NAVI+ECC+PDC*,10950.0,8,Petrol,Manual,Hatchback,A3,186534
4892,Audi A4 Avant 1.8 Turbo Advance S-line Buiten ClimateControl Leder,9400.0,11,Petrol,Manual,Station wagon,A4,148932
4893,Audi Q7 3.0 TDI quattro ultra 7-Personen Navi Xenon,61300.0,3,Diesel,Automatic,SUV,Q7,69000
4894,Audi Q3 1.4 TFSI CoD Pro Line 150 Pk Led Clima Pdc,29150.0,4,Petrol,Manual,SUV,Q3,37732
4895,Audi A4 Avant 2.0 TDI 150PK S-line XENON/LEER/NAVI/CAMERA,21800.0,4,Diesel,Manual,Station wagon,A4,106905
4896,Audi A3 Sportback 1.2 TFSI ATTRACTION ADVANCE 105 PK Automatische airco | |Cruise control | Xenon | Trekhaak,14600.0,6,Petrol,Manual,Hatchback,A3,82184
4897,Audi Q3 Design 1.4 TFSI CoD S-tronic / Navigatie / Parkeersensoren / Elektrische achterklep,39850.0,1,Petrol,Automatic,SUV,Q3,16983
4898,"Audi A3 1.4 TFSI ATTRACTION PRO LINE , Cruise control,",11500.0,6,Petrol,Manual,Hatchback,A3,188068
4899,Audi A1 1.2 TFSI ATTRACTION PRO LINE BUSINESS NAVIGATIE AIRCO CRUISE BLUETOOTH LM VELGEN,12000.0,7,Petrol,Manual,Hatchback,A1,82079
4900,"Audi Q7 3.0 TDI quattro Pro Line S navi, automaat, panoramadak, led, 20 inch lmv, leer, S-Line etc",83950.0,2,Diesel,Automatic,SUV,Q7,49636
4901,"Audi A5 Sportback 2.0 TFSI quattro 230pk,s-line,navi,key-less,24 mnd garantie mogelijk",40950.0,3,Petrol,Automatic,Hatchback,A5,14000
4902,Audi TT 1.8 5V Turbo quattro,5250.0,20,Petrol,Manual,Coupe,TT,165000
4903,"Audi A4 Avant 1.4TFSI/150pk Sport S line black edition · Navigatie · LED koplampen · 18""LM velgen",51050.0,1,Petrol,Automatic,Station wagon,A4,0
4904,"Audi A4 3.0 TDI Quattro Avant Aut| 2x S-Line |Xenon |18""| Navi | B&O |Super nieuwstaat",17600.0,6,Diesel,Automatic,Station wagon,A4,289173
4905,Audi TT 1.8 5V Turbo Navi Stoelverwarming,5200.0,16,Petrol,Manual,Coupe,TT,238984
4906,Audi A1 Sportback 1.0 TFSI 95pk Advance,24100.0,1,Petrol,Manual,Hatchback,A1,0
4907,Audi A3 Limousine S line edition 30 TFSI S tronic,42550.0,1,Petrol,Automatic,Sedan,A3,0
4908,Audi A4 Avant 2.0 TFSI S line edition 190 140 kW / 190 pk,56100.0,0,Petrol,Automatic,Station wagon,A4,0
4909,Audi A6 Avant 3.0 TDI BiT Quattro Aut 3x S Line Full Loaded Alle Denkbare Opties Matrix Luchtvering SoftCloss Head Up Display Competition Clean Diesel 3.0TDI,50300.0,4,Diesel,Automatic,Station wagon,A6,127774
4910,Audi A3 Sportback 1.4 TFSI 150pk COD ATTRACTION PRO LINE / 18 Inch S-line Lichtmetalen Velgen,20850.0,4,Petrol,Manual,Hatchback,A3,80286
4911,Audi TT TT RS 2.5 400pk 5Cyl.|V-max 280 km/h|B&O|Carbon optiek|Camera|Quattro,79700.0,3,Petrol,Automatic,Coupe,TT,9360
4912,Audi Cabriolet A5 3.0 TFSI QUATTRO Aut7 * ABT TUNING 380pk * B&O * NL AUTO,34600.0,7,Petrol,Automatic,Cabriolet, A5,162656
4913,Audi TT Roadster 2.0 TFSI Pro Line navi leder pdc,12550.0,11,Petrol,Manual,Cabriolet,TT,146932
4914,Audi A6 Avant 2.0 TDI ultra Sport Edition Navi Xenon,45050.0,3,Diesel,Automatic,Station wagon,A6,21738
4915,Audi A3 2.0 FSI 150pk AUT. CLIMA LEER SCHUIFDAK ZWART,7350.0,15,Petrol,Automatic,Hatchback,A3,136112
4916,"Audi A3 1.4 TFSI,DSG,navi,clima,cruise,stoelverw,24 mnd garantie mogelijk",11550.0,8,Petrol,Automatic,Hatchback,A3,104000
4917,Audi A3 Sportback 30 TFSI 116 pk S-tronic LEASE EDITION * MMI NAV * LED * PARKEERHULP ACHTER * VSB 5196,36950.0,1,Petrol,Automatic,Hatchback,A3,0
4918,Audi A4 Avant 1.4 TFSI Sport S line edition,52300.0,1,Petrol,Automatic,Station wagon,A4,0
4919,Audi A5 2.0 TDI Pro Line,15700.0,6,Diesel,Manual,Hatchback,A5,212021
4920,"Audi A3 Sportback 1.4 TFSI AMBITION PRO LINE, 125PK | NAVI | CRUISE | ECC",10300.0,11,Petrol,Manual,Hatchback,A3,120155
4921,Audi A5 2.0 TFSI 180pk Coupe Pro Line Navi Xenon 19inch LM *NL auto* 138569km!!,15450.0,9,Petrol,Manual,Coupe,A5,138569
4922,Audi A4 Avant 2.0 TDI Business Edition Automaat,20300.0,5,Diesel,Automatic,Station wagon,A4,148122
4923,Audi A5 Sportback 2.0 TFSI MHEV 190pk s-tronic S Line Edition,60100.0,1,Petrol,Automatic,Hatchback,A5,0
4924,Audi A3 Sportback 1.5 TFSI 150pk COD SPORT S LINE EDITION S-Line interieur& exterieur pakket / LED Koplampen / Climate control 18 Inch LM velgen,32900.0,1,Petrol,Manual,Hatchback,A3,24484
4925,Audi A6 Avant 40 TDI Launch edition Sport,76350.0,1,Diesel,Automatic,Station wagon,A6,0
4926,Audi A4 2.0 TFSI MHEV 190pk s-tronic S Line Black Edition,53100.0,1,Petrol,Automatic,Sedan,A4,0
4927,Audi A6 3.2 FSI,4700.0,14,Petrol,Manual,Sedan,A6,281000
4928,Audi A4 2.0 TDI BUSINESS EDITION NAVIGATIE XENON,14650.0,6,Diesel,Manual,Sedan,A4,102325
4929,"Audi A3 Sportback 1.6 TDI 116PK Sport Climatronic, Bi-Xenon, PDC, Climatronic",29350.0,2,Diesel,Manual,Hatchback,A3,16702
4930,"Audi A4 Avant 2.0 TDI ULTRA BUSINESS EDITION , Navi , Xenon",16750.0,5,Diesel,Manual,Station wagon,A4,125935
